Last Name,First Name,Email,Grade
Thomas,Brandon,brandon.thomas@univ.edu,13
Flower,John,john.g.2.flower@univ.edu,8
Hernandez,Taylor,taylor.hernandez@univ.edu,14
Warren,Tamara,tamara.warren@univ.edu,16
Simpson,Felicia,felicia.simpson@univ.edu,13
Lee,Michelle,michelle.lee@univ.edu,16
Myers,Brian,brian.myers@univ.edu,15
Anderson,Daisy,daisy.anderson@univ.edu,10
Rhodes,Kimberly,kimberly.rhodes@univ.edu,16
Watkins,Carol,carol.watkins@univ.edu,11
Sampson,Stephanie,stephanie.sampson@univ.edu,6
Smith,Andrea,andrea.smith@univ.edu,7
Rush,Oscar,oscar.rush@univ.edu,7
Friedman,Linda,linda.friedman@univ.edu,8
Nguyen,Donna,donna.nguyen@univ.edu,14
Miller,Anthony,anthony.miller@univ.edu,13
Elliott,Richard,richard.elliott@univ.edu,17
Dunn,Amy,amy.dunn@univ.edu,6
Smith,Samantha,samantha.smith@univ.edu,17
Martin,Ashley,ashley.martin@univ.edu,8
Smith,Kerry,kerry.smith@univ.edu,16
Rodriguez,Alexander,alexander.rodriguez@univ.edu,16
Stevens,Marcia,marcia.stevens@univ.edu,17
Terry,Amy,amy.terry@univ.edu,9
Saunders,Richard,richard.saunders@univ.edu,15
Garza,Jessica,jessica.garza@univ.edu,16
Wolf,Courtney,courtney.wolf@univ.edu,9
Pena,Jonathan,jonathan.pena@univ.edu,13
Edwards,Timothy,timothy.edwards@univ.edu,6
Benton,Michael,michael.benton@univ.edu,17
Bennett,Richard,richard.bennett@univ.edu,9
Delgado,Desiree,desiree.delgado@univ.edu,9
Gonzalez,Matthew,matthew.gonzalez@univ.edu,16
Webb,Heather,heather.webb@univ.edu,16
Reilly,Brandy,brandy.reilly@univ.edu,6
Good,Sherry,sherry.good@univ.edu,7
King,Paige,paige.king@univ.edu,17
Garcia,Desiree,desiree.garcia@univ.edu,6
Hart,Colleen,colleen.hart@univ.edu,17
Weber,Samuel,samuel.weber@univ.edu,14
Patterson,Nicole,nicole.patterson@univ.edu,10
Dennis,Rachel,rachel.dennis@univ.edu,7
Young,Joseph,joseph.young@univ.edu,12
Miller,Stephen,stephen.miller@univ.edu,7
Hunt,Brett,brett.hunt@univ.edu,16
Schwartz,Billy,billy.schwartz@univ.edu,11
Guzman,Cynthia,cynthia.guzman@univ.edu,14
Petersen,Kristin,kristin.petersen@univ.edu,7
Allen,Christina,christina.allen@univ.edu,14
Washington,Travis,travis.washington@univ.edu,10
Anderson,Lauren,lauren.anderson@univ.edu,11
Cooper,Adam,adam.cooper@univ.edu,16
Bauer,John,john.bauer@univ.edu,13
Woodard,John,john.woodard@univ.edu,11
Payne,Douglas,douglas.payne@univ.edu,7
Smith,Crystal,crystal.smith@univ.edu,8
Poole,Melissa,melissa.poole@univ.edu,17
Glover,Heidi,heidi.glover@univ.edu,10
Baldwin,Lucas,lucas.baldwin@univ.edu,9
Campbell,Charles,charles.campbell@univ.edu,14
Johnson,Stacy,stacy.johnson@univ.edu,11
White,Amy,amy.white@univ.edu,15
Mann,Nicole,nicole.mann@univ.edu,12
Foster,Ashlee,ashlee.foster@univ.edu,17
Price,Ricardo,ricardo.price@univ.edu,8
Douglas,Robert,robert.douglas@univ.edu,13
Parker,Timothy,timothy.parker@univ.edu,13
Dunlap,Angela,angela.dunlap@univ.edu,11
Scott,Michelle,michelle.scott@univ.edu,12
Carter,Lorraine,lorraine.carter@univ.edu,14
Bryan,Bradley,bradley.bryan@univ.edu,8
Bates,Nathan,nathan.bates@univ.edu,6
Daniel,William,william.daniel@univ.edu,10
Rodriguez,John,john.rodriguez@univ.edu,12
Flores,Russell,russell.flores@univ.edu,13
Reyes,Jason,jason.reyes@univ.edu,13
Lester,Aaron,aaron.lester@univ.edu,10
Cervantes,Scott,scott.cervantes@univ.edu,9
Greer,April,april.greer@univ.edu,13
Johnson,Jamie,jamie.johnson@univ.edu,16
Faulkner,Katelyn,katelyn.faulkner@univ.edu,17
Brock,Lauren,lauren.brock@univ.edu,11
Mccall,Kimberly,kimberly.mccall@univ.edu,10
Johnson,Tara,tara.johnson@univ.edu,10
Clark,Jill,jill.clark@univ.edu,14
Ortega,Tiffany,tiffany.ortega@univ.edu,15
Sanders,Beth,beth.sanders@univ.edu,9
Smith,Matthew,matthew.smith@univ.edu,7
Lopez,Mark,mark.lopez@univ.edu,15
Perez,Jeffrey,jeffrey.perez@univ.edu,12
Houston,Emily,emily.houston@univ.edu,17
Curry,Alec,alec.curry@univ.edu,9
Reyes,Carol,carol.reyes@univ.edu,8
Warren,Angela,angela.warren@univ.edu,10
Reyes,Bailey,bailey.reyes@univ.edu,17
Miller,Jorge,jorge.miller@univ.edu,6
Rice,Rhonda,rhonda.rice@univ.edu,14
Powers,Brooke,brooke.powers@univ.edu,17
Gordon,Lori,lori.gordon@univ.edu,12
Leon,Tammy,tammy.leon@univ.edu,17
Johnston,Robert,robert.johnston@univ.edu,13
Lambert,Malaika,malaika.lambert@univ.edu,10
Underwood,James,james.underwood@univ.edu,8
Williams,Kimberly,kimberly.williams@univ.edu,11
Jones,Sarah,sarah.jones@univ.edu,15
Flores,Brandon,brandon.flores@univ.edu,11
Johnson,Paul,paul.johnson@univ.edu,9
Bailey,Belinda,belinda.bailey@univ.edu,9
Odom,John,john.odom@univ.edu,8
Jones,Michele,michele.jones@univ.edu,12
Graham,Benjamin,benjamin.graham@univ.edu,6
Moore,Kimberly,kimberly.moore@univ.edu,17
Nguyen,Cindy,cindy.nguyen@univ.edu,6
Edwards,Nicole,nicole.edwards@univ.edu,9
Beck,David,david.beck@univ.edu,7
Brown,Kelsey,kelsey.brown@univ.edu,9
Vasquez,Sara,sara.vasquez@univ.edu,8
Lee,Danielle,danielle.lee@univ.edu,10
Reid,Laura,laura.reid@univ.edu,10
Thomas,Sandra,sandra.thomas@univ.edu,14
Rogers,Sherry,sherry.rogers@univ.edu,17
Ramirez,Timothy,timothy.ramirez@univ.edu,13
Daniels,Amber,amber.daniels@univ.edu,16
Davidson,Luke,luke.davidson@univ.edu,14
Foster,Tommy,tommy.foster@univ.edu,7
Terry,Thomas,thomas.terry@univ.edu,13
Dennis,Cameron,cameron.dennis@univ.edu,13
Johnson,Dylan,dylan.johnson@univ.edu,15
Watson,Holly,holly.watson@univ.edu,10
James,Margaret,margaret.james@univ.edu,9
Walls,Joyce,joyce.walls@univ.edu,9
Boyd,Victoria,victoria.boyd@univ.edu,6
Dudley,Emily,emily.dudley@univ.edu,8
Patrick,Mark,mark.patrick@univ.edu,10
Sparks,Leslie,leslie.sparks@univ.edu,16
Raymond,Troy,troy.raymond@univ.edu,14
Evans,Patricia,patricia.evans@univ.edu,8
Marshall,Shawn,shawn.marshall@univ.edu,15
Joyce,Traci,traci.joyce@univ.edu,14
Walsh,Jill,jill.walsh@univ.edu,6
Miranda,Brett,brett.miranda@univ.edu,15
Harris,John,john.harris@univ.edu,12
Holt,Crystal,crystal.holt@univ.edu,14
Duffy,Erin,erin.duffy@univ.edu,14
Wilkerson,Levi,levi.wilkerson@univ.edu,8
Adams,Amy,amy.adams@univ.edu,12
Roberts,Steven,steven.roberts@univ.edu,8
Barrera,Woody,woody.barrera_jr@univ.edu,11
Taylor,Michael,michael.taylor@univ.edu,13
Jones,Daniel,daniel.jones@univ.edu,11
