,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@univ.edu,3,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100,4,14,10,9,6,0.83,0.95,0.87,0.822972972972973,0.8281865079365078,0.8281865079365078,0.822972972972973,0.6149732620320856,0.822972972972973,0.845166495066495,85.0,B
nsb43944,nathan.bates@univ.edu,3,Nathan,Bates,68.0,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100,10,11,12,6,6,0.71,0.76,0.82,0.8432432432432433,0.8437936507936508,0.8437936507936508,0.8432432432432433,0.6634886681945507,0.8432432432432433,0.8249904332904333,83.0,B
mxb67936,michael.benton@univ.edu,3,Michael,Benton,54.0,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100,4,10,6,17,7,0.78,0.91,0.91,0.7581081081081081,0.7703809523809524,0.7703809523809524,0.7581081081081081,0.6167965367965368,0.7581081081081081,0.8020848133848134,81.0,B
bxb28023,bradley.bryan@univ.edu,3,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100,8,10,12,8,10,0.96,0.82,0.66,0.8527027027027027,0.8523531746031747,0.8527027027027027,0.8527027027027027,0.7121263050674815,0.8527027027027027,0.8258918918918918,83.0,B
sxc85021,scott.cervantes@univ.edu,3,Scott,Cervantes,51.0,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100,9,12,8,9,4,0.6,1.0,0.89,0.8364864864864865,0.8481984126984127,0.8481984126984127,0.8364864864864865,0.6067048637636873,0.8364864864864865,0.853725311025311,86.0,B
jgc21028,jill.clark@univ.edu,3,Jill,Clark,70.0,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100,4,11,6,14,9,0.62,0.94,0.88,0.8243243243243243,0.8183769841269841,0.8243243243243243,0.8243243243243243,0.6321517697988287,0.8243243243243243,0.8340270270270271,84.0,B
lxd16906,luke.davidson@univ.edu,3,Luke,Davidson,49.0,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100,5,8,14,14,7,0.92,0.62,0.6,0.8297297297297297,0.82775,0.8297297297297297,0.8297297297297297,0.6762643239113827,0.8297297297297297,0.7788108108108107,78.0,C
rxd55884,rachel.dennis@univ.edu,3,Rachel,Dennis,73.0,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100,11,6,6,7,7,0.72,0.98,0.86,0.7837837837837838,0.7874642857142857,0.7874642857142857,0.7837837837837838,0.558673287496817,0.7837837837837838,0.8131208494208495,82.0,B
axd67070,amy.dunn@univ.edu,3,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100,6,13,12,6,10,0.93,0.96,0.86,0.7864864864864864,0.7852261904761905,0.7864864864864864,0.7864864864864864,0.6981207028265851,0.7864864864864864,0.8220405405405405,83.0,B
nxe44872,nicole.edwards@univ.edu,3,Nicole,Edwards,62.0,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100,10,12,12,9,10,0.89,0.63,0.65,0.8391891891891892,0.8411746031746032,0.8411746031746032,0.8391891891891892,0.7857957728545963,0.8391891891891892,0.793226598026598,80.0,B
pxe53402,patricia.evans@univ.edu,3,Patricia,Evans,57.0,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100,4,12,9,8,9,0.72,0.91,0.68,0.7945945945945946,0.8006666666666666,0.8006666666666666,0.7945945945945946,0.6158492487904252,0.7945945945945946,0.7876450450450451,79.0,C
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,69.0,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100,5,13,8,8,8,0.72,0.83,0.77,0.7702702702702703,0.7657103174603175,0.7702702702702703,0.7702702702702703,0.6152864782276548,0.7702702702702703,0.7736891891891893,78.0,C
axf16145,ashlee.foster@univ.edu,3,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100,12,14,12,17,5,0.73,0.61,0.74,0.8337837837837838,0.8233690476190476,0.8337837837837838,0.8337837837837838,0.850909090909091,0.850909090909091,0.7972862407862409,80.0,B
llf55044,linda.friedman@univ.edu,3,Linda,Friedman,49.0,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100,8,5,9,8,10,0.64,0.86,0.7,0.8094594594594594,0.8095992063492063,0.8095992063492063,0.8094594594594594,0.6006977336389101,0.8094594594594594,0.7896775203775204,79.0,C
abg77872,april.greer@univ.edu,3,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100,12,13,11,13,8,0.74,0.71,0.94,0.7472972972972973,0.7466269841269841,0.7472972972972973,0.7472972972972973,0.830776674306086,0.830776674306086,0.7971519212107447,80.0,B
dxj78877,dylan.johnson@univ.edu,3,Dylan,Johnson,61.0,80,48,80,59,80,71,100,42,70,75,90,50,50,49,70,36,60,50,60,72,100,64,100,99,100,10,5,9,15,6,0.72,0.64,0.99,0.731081081081081,0.7376666666666666,0.7376666666666666,0.731081081081081,0.6436567354214413,0.731081081081081,0.7628909909909909,77.0,C
pmj37756,paul.johnson@univ.edu,3,Paul,Johnson,73.0,80,50,80,55,80,65,100,47,70,76,90,32,50,55,70,40,60,51,60,84,100,80,100,94,100,10,11,14,9,10,0.84,0.8,0.94,0.7351351351351352,0.7333253968253968,0.7351351351351352,0.7351351351351352,0.7981767252355487,0.7981767252355487,0.7965070716247187,80.0,B
rsj94156,robert.johnston@univ.edu,3,Robert,Johnston,74.0,80,64,80,64,80,76,100,64,70,56,90,32,50,46,70,43,60,43,60,98,100,61,100,74,100,5,10,12,13,9,0.98,0.61,0.74,0.7594594594594595,0.7551984126984127,0.7594594594594595,0.7594594594594595,0.702768016297428,0.7594594594594595,0.7526216216216216,76.0,C
sxj49423,sarah.jones@univ.edu,3,Sarah,Jones,62.0,80,49,80,55,80,80,100,49,70,71,90,37,50,60,70,36,60,37,60,89,100,68,100,94,100,12,14,15,15,9,0.89,0.68,0.94,0.7243243243243244,0.7177698412698412,0.7243243243243244,0.7243243243243244,0.9401069518716578,0.9401069518716578,0.8252618152912271,83.0,B
dsl24347,danielle.lee@univ.edu,3,Danielle,Lee,69.0,80,51,80,70,80,96,100,51,70,77,90,37,50,52,70,49,60,57,60,62,100,70,100,90,100,7,5,14,10,7,0.62,0.7,0.9,0.822972972972973,0.8168650793650792,0.822972972972973,0.822972972972973,0.6196816908581615,0.822972972972973,0.812081081081081,82.0,B
tgl37922,tammy.leon@univ.edu,3,Tammy,Leon,63.0,80,75,80,63,80,70,100,64,70,87,90,33,50,55,70,47,60,42,60,88,100,90,100,87,100,4,6,14,17,4,0.88,0.9,0.87,0.8094594594594594,0.8022499999999999,0.8094594594594594,0.8094594594594594,0.6117748917748917,0.8094594594594594,0.8311216216216216,84.0,B
kxm62826,kimberly.mccall@univ.edu,3,Kimberly,Mccall,61.0,80,53,80,79,80,95,100,44,70,87,90,36,50,48,70,60,60,57,60,79,100,98,100,60,100,4,12,15,10,11,0.79,0.98,0.6,0.8378378378378378,0.8313452380952381,0.8378378378378378,0.8378378378378378,0.7557422969187676,0.8378378378378378,0.8139864864864865,82.0,B
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100,12,7,8,13,9,0.73,0.68,0.93,0.8,0.7939404761904763,0.8,0.8,0.7232442067736186,0.8,0.804,81.0,B
bxm17365,brett.miranda@univ.edu,3,Brett,Miranda,74.0,80,63,80,53,80,71,100,61,70,62,90,43,50,51,70,54,60,51,60,82,100,94,100,95,100,8,11,9,15,11,0.82,0.94,0.95,0.7878378378378378,0.7983888888888889,0.7983888888888889,0.7878378378378378,0.7869467787114846,0.7878378378378378,0.8332069069069069,84.0,B
njp08545,nicole.patterson@univ.edu,3,Nicole,Patterson,66.0,80,66,80,55,80,89,100,49,70,83,90,48,50,59,70,37,60,53,60,96,100,91,100,95,100,10,13,14,10,6,0.96,0.91,0.95,0.8175675675675675,0.8152579365079365,0.8175675675675675,0.8175675675675675,0.7657855869620576,0.8175675675675675,0.8537972972972973,86.0,B
jxp06435,jeffrey.perez@univ.edu,3,Jeffrey,Perez,50.0,80,56,80,50,80,100,100,53,70,86,90,41,50,58,70,44,60,51,60,67,100,81,100,95,100,9,12,7,12,4,0.67,0.81,0.95,0.7959459459459459,0.7894603174603174,0.7959459459459459,0.7959459459459459,0.6286656480774128,0.7959459459459459,0.8141621621621622,82.0,B
mxp86000,melissa.poole@univ.edu,3,Melissa,Poole,62.0,80,70,80,70,80,73,100,54,70,82,90,43,50,65,70,54,60,51,60,88,100,97,100,83,100,5,12,7,17,9,0.88,0.97,0.83,0.8432432432432433,0.8476111111111111,0.8476111111111111,0.8432432432432433,0.7117316017316018,0.8432432432432433,0.8575174174174175,86.0,B
