Last Name,First Name,Email,Grade
Patterson,Nicole,nicole.patterson@univ.edu,13
Graham,Benjamin,benjamin.graham@univ.edu,6
Flores,Russell,russell.flores@univ.edu,9
Moore,Kimberly,kimberly.moore@univ.edu,8
Adams,Amy,amy.adams@univ.edu,8
Vasquez,Sara,sara.vasquez@univ.edu,6
Petersen,Kristin,kristin.petersen@univ.edu,5
Bennett,Richard,richard.bennett@univ.edu,8
Saunders,Richard,richard.saunders@univ.edu,12
Perez,Jeffrey,jeffrey.perez@univ.edu,12
Warren,Tamara,tamara.warren@univ.edu,7
Douglas,Robert,robert.douglas@univ.edu,10
White,Amy,amy.white@univ.edu,11
Jones,Michele,michele.jones@univ.edu,6
Smith,Samantha,samantha.smith@univ.edu,5
Smith,Crystal,crystal.smith@univ.edu,14
Marshall,Shawn,shawn.marshall@univ.edu,11
Joyce,Traci,traci.joyce@univ.edu,9
Delgado,Desiree,desiree.delgado@univ.edu,8
Foster,Tommy,tommy.foster@univ.edu,10
Cooper,Adam,adam.cooper@univ.edu,7
Bryan,Bradley,bradley.bryan@univ.edu,10
Weber,Samuel,samuel.weber@univ.edu,5
Harris,John,john.harris@univ.edu,6
Daniel,William,william.daniel@univ.edu,9
Glover,Heidi,heidi.glover@univ.edu,7
Garcia,Desiree,desiree.garcia@univ.edu,10
Powers,Brooke,brooke.powers@univ.edu,10
Rogers,Sherry,sherry.rogers@univ.edu,9
Bauer,John,john.bauer@univ.edu,9
Washington,Travis,travis.washington@univ.edu,9
Thomas,Brandon,brandon.thomas@univ.edu,8
Jones,Sarah,sarah.jones@univ.edu,14
Lambert,Malaika,malaika.lambert@univ.edu,13
Holt,Crystal,crystal.holt@univ.edu,14
Johnson,Tara,tara.johnson@univ.edu,14
Underwood,James,james.underwood@univ.edu,9
Rush,Oscar,oscar.rush@univ.edu,5
Benton,Michael,michael.benton@univ.edu,10
Williams,Kimberly,kimberly.williams@univ.edu,11
Dunn,Amy,amy.dunn@univ.edu,13
Watson,Holly,holly.watson@univ.edu,6
Watkins,Carol,carol.watkins@univ.edu,5
Price,Ricardo,ricardo.price@univ.edu,14
Warren,Angela,angela.warren@univ.edu,5
Houston,Emily,emily.houston@univ.edu,5
Simpson,Felicia,felicia.simpson@univ.edu,9
Sanders,Beth,beth.sanders@univ.edu,10
Gordon,Lori,lori.gordon@univ.edu,7
Baldwin,Lucas,lucas.baldwin@univ.edu,12
Good,Sherry,sherry.good@univ.edu,7
Sparks,Leslie,leslie.sparks@univ.edu,8
Lee,Michelle,michelle.lee@univ.edu,10
Poole,Melissa,melissa.poole@univ.edu,12
Boyd,Victoria,victoria.boyd@univ.edu,6
Campbell,Charles,charles.campbell@univ.edu,14
Dennis,Cameron,cameron.dennis@univ.edu,5
Nguyen,Cindy,cindy.nguyen@univ.edu,10
Duffy,Erin,erin.duffy@univ.edu,5
Raymond,Troy,troy.raymond@univ.edu,7
Anderson,Daisy,daisy.anderson@univ.edu,6
Sampson,Stephanie,stephanie.sampson@univ.edu,12
Rodriguez,John,john.rodriguez@univ.edu,11
