Last Name,First Name,Email,Grade
Anderson,Daisy,daisy.anderson@univ.edu,6
Flower,John,john.g.2.flower@univ.edu,8
Smith,Samantha,samantha.smith@univ.edu,7
White,Amy,amy.white@univ.edu,14
Delgado,Desiree,desiree.delgado@univ.edu,7
Evans,Patricia,patricia.evans@univ.edu,9
Warren,Tamara,tamara.warren@univ.edu,14
Jones,Sarah,sarah.jones@univ.edu,15
Patterson,Nicole,nicole.patterson@univ.edu,14
Anderson,Lauren,lauren.anderson@univ.edu,6
Daniels,Amber,amber.daniels@univ.edu,15
Martin,Ashley,ashley.martin@univ.edu,7
Cooper,Adam,adam.cooper@univ.edu,10
Saunders,Richard,richard.saunders@univ.edu,8
Johnston,Robert,robert.johnston@univ.edu,12
Beck,David,david.beck@univ.edu,7
Garcia,Desiree,desiree.garcia@univ.edu,10
Campbell,Charles,charles.campbell@univ.edu,15
Johnson,Tara,tara.johnson@univ.edu,6
Myers,Brian,brian.myers@univ.edu,10
King,Paige,paige.king@univ.edu,13
Leon,Tammy,tammy.leon@univ.edu,14
Mccall,Kimberly,kimberly.mccall@univ.edu,15
Thomas,Sandra,sandra.thomas@univ.edu,10
Johnson,Jamie,jamie.johnson@univ.edu,14
Daniel,William,william.daniel@univ.edu,10
Joyce,Traci,traci.joyce@univ.edu,6
Hunt,Brett,brett.hunt@univ.edu,11
Faulkner,Katelyn,katelyn.faulkner@univ.edu,12
Underwood,James,james.underwood@univ.edu,13
Smith,Kerry,kerry.smith@univ.edu,13
Guzman,Cynthia,cynthia.guzman@univ.edu,15
Nguyen,Cindy,cindy.nguyen@univ.edu,10
Reyes,Jason,jason.reyes@univ.edu,13
Washington,Travis,travis.washington@univ.edu,13
Bennett,Richard,richard.bennett@univ.edu,6
Warren,Angela,angela.warren@univ.edu,14
Gordon,Lori,lori.gordon@univ.edu,15
Friedman,Linda,linda.friedman@univ.edu,9
Stevens,Marcia,marcia.stevens@univ.edu,15
Vasquez,Sara,sara.vasquez@univ.edu,7
Boyd,Victoria,victoria.boyd@univ.edu,8
Mann,Nicole,nicole.mann@univ.edu,8
Holt,Crystal,crystal.holt@univ.edu,9
Douglas,Robert,robert.douglas@univ.edu,9
Wolf,Courtney,courtney.wolf@univ.edu,15
Brown,Kelsey,kelsey.brown@univ.edu,15
Watkins,Carol,carol.watkins@univ.edu,6
Barrera,Woody,woody.barrera_jr@univ.edu,10
Good,Sherry,sherry.good@univ.edu,12
Brock,Lauren,lauren.brock@univ.edu,14
Jones,Daniel,daniel.jones@univ.edu,8
Reyes,Bailey,bailey.reyes@univ.edu,15
Taylor,Michael,michael.taylor@univ.edu,15
Rogers,Sherry,sherry.rogers@univ.edu,12
Nguyen,Donna,donna.nguyen@univ.edu,12
Poole,Melissa,melissa.poole@univ.edu,7
Moore,Kimberly,kimberly.moore@univ.edu,14
Duffy,Erin,erin.duffy@univ.edu,12
Houston,Emily,emily.houston@univ.edu,9
Lopez,Mark,mark.lopez@univ.edu,15
Bauer,John,john.bauer@univ.edu,7
Cervantes,Scott,scott.cervantes@univ.edu,8
Greer,April,april.greer@univ.edu,11
Dunn,Amy,amy.dunn@univ.edu,12
Foster,Tommy,tommy.foster@univ.edu,9
Flores,Brandon,brandon.flores@univ.edu,15
Roberts,Steven,steven.roberts@univ.edu,14
Curry,Alec,alec.curry@univ.edu,9
Powers,Brooke,brooke.powers@univ.edu,10
Lester,Aaron,aaron.lester@univ.edu,9
Rush,Oscar,oscar.rush@univ.edu,14
Parker,Timothy,timothy.parker@univ.edu,14
Graham,Benjamin,benjamin.graham@univ.edu,15
Miranda,Brett,brett.miranda@univ.edu,9
Sanders,Beth,beth.sanders@univ.edu,12
Benton,Michael,michael.benton@univ.edu,6
Smith,Matthew,matthew.smith@univ.edu,14
Lambert,Malaika,malaika.lambert@univ.edu,10
Bailey,Belinda,belinda.bailey@univ.edu,10
Glover,Heidi,heidi.glover@univ.edu,14
Dennis,Rachel,rachel.dennis@univ.edu,6
Johnson,Dylan,dylan.johnson@univ.edu,9
Carter,Lorraine,lorraine.carter@univ.edu,13
Marshall,Shawn,shawn.marshall@univ.edu,9
Smith,Crystal,crystal.smith@univ.edu,14
Miller,Anthony,anthony.miller@univ.edu,8
Price,Ricardo,ricardo.price@univ.edu,12
Rodriguez,Alexander,alexander.rodriguez@univ.edu,13
Scott,Michelle,michelle.scott@univ.edu,15
Harris,John,john.harris@univ.edu,14
Miller,Jorge,jorge.miller@univ.edu,10
Lee,Danielle,danielle.lee@univ.edu,14
Lee,Michelle,michelle.lee@univ.edu,13
James,Margaret,margaret.james@univ.edu,11
Garza,Jessica,jessica.garza@univ.edu,8
Edwards,Timothy,timothy.edwards@univ.edu,14
Payne,Douglas,douglas.payne@univ.edu,7
Edwards,Nicole,nicole.edwards@univ.edu,12
Miller,Stephen,stephen.miller@univ.edu,10
Flores,Russell,russell.flores@univ.edu,8
Walls,Joyce,joyce.walls@univ.edu,6
Hart,Colleen,colleen.hart@univ.edu,6
Reilly,Brandy,brandy.reilly@univ.edu,13
Odom,John,john.odom@univ.edu,15
Rodriguez,John,john.rodriguez@univ.edu,12
Reid,Laura,laura.reid@univ.edu,13
Davidson,Luke,luke.davidson@univ.edu,14
