Last Name,First Name,Email,Grade
Bennett,Richard,richard.bennett@univ.edu,10
Parker,Timothy,timothy.parker@univ.edu,9
Reyes,Carol,carol.reyes@univ.edu,5
Powers,Brooke,brooke.powers@univ.edu,6
Taylor,Michael,michael.taylor@univ.edu,5
Bailey,Belinda,belinda.bailey@univ.edu,6
Stevens,Marcia,marcia.stevens@univ.edu,7
Faulkner,Katelyn,katelyn.faulkner@univ.edu,6
Daniel,William,william.daniel@univ.edu,9
Johnson,Dylan,dylan.johnson@univ.edu,6
Thomas,Sandra,sandra.thomas@univ.edu,9
Saunders,Richard,richard.saunders@univ.edu,10
Ortega,Tiffany,tiffany.ortega@univ.edu,7
Schwartz,Billy,billy.schwartz@univ.edu,11
Vasquez,Sara,sara.vasquez@univ.edu,5
Martin,Ashley,ashley.martin@univ.edu,5
Rush,Oscar,oscar.rush@univ.edu,5
Walsh,Jill,jill.walsh@univ.edu,6
Hernandez,Taylor,taylor.hernandez@univ.edu,11
Cooper,Adam,adam.cooper@univ.edu,4
Raymond,Troy,troy.raymond@univ.edu,7
Washington,Travis,travis.washington@univ.edu,11
King,Paige,paige.king@univ.edu,8
Miller,Anthony,anthony.miller@univ.edu,9
Underwood,James,james.underwood@univ.edu,5
Cervantes,Scott,scott.cervantes@univ.edu,4
Terry,Thomas,thomas.terry@univ.edu,8
Glover,Heidi,heidi.glover@univ.edu,4
Payne,Douglas,douglas.payne@univ.edu,8
Lee,Danielle,danielle.lee@univ.edu,7
Gordon,Lori,lori.gordon@univ.edu,9
Dunn,Amy,amy.dunn@univ.edu,10
Sparks,Leslie,leslie.sparks@univ.edu,7
Patterson,Nicole,nicole.patterson@univ.edu,6
Lester,Aaron,aaron.lester@univ.edu,6
Daniels,Amber,amber.daniels@univ.edu,7
Friedman,Linda,linda.friedman@univ.edu,10
Brown,Kelsey,kelsey.brown@univ.edu,10
Beck,David,david.beck@univ.edu,4
Jones,Sarah,sarah.jones@univ.edu,9
Rodriguez,Alexander,alexander.rodriguez@univ.edu,11
Miller,Stephen,stephen.miller@univ.edu,8
Duffy,Erin,erin.duffy@univ.edu,9
Rhodes,Kimberly,kimberly.rhodes@univ.edu,9
Webb,Heather,heather.webb@univ.edu,5
Lee,Michelle,michelle.lee@univ.edu,9
Graham,Benjamin,benjamin.graham@univ.edu,7
Johnson,Stacy,stacy.johnson@univ.edu,6
Anderson,Lauren,lauren.anderson@univ.edu,8
Greer,April,april.greer@univ.edu,8
Rodriguez,John,john.rodriguez@univ.edu,6
Brock,Lauren,lauren.brock@univ.edu,7
Reyes,Jason,jason.reyes@univ.edu,9
Gonzalez,Matthew,matthew.gonzalez@univ.edu,7
Adams,Amy,amy.adams@univ.edu,9
Warren,Angela,angela.warren@univ.edu,8
Smith,Kerry,kerry.smith@univ.edu,4
Johnston,Robert,robert.johnston@univ.edu,9
Smith,Matthew,matthew.smith@univ.edu,8
Bates,Nathan,nathan.bates@univ.edu,6
Douglas,Robert,robert.douglas@univ.edu,8
Smith,Samantha,samantha.smith@univ.edu,6
Foster,Tommy,tommy.foster@univ.edu,9
White,Amy,amy.white@univ.edu,7
Joyce,Traci,traci.joyce@univ.edu,8
Patrick,Mark,mark.patrick@univ.edu,10
Anderson,Daisy,daisy.anderson@univ.edu,9
Hunt,Brett,brett.hunt@univ.edu,4
Dudley,Emily,emily.dudley@univ.edu,5
Watkins,Carol,carol.watkins@univ.edu,6
Curry,Alec,alec.curry@univ.edu,9
Johnson,Tara,tara.johnson@univ.edu,6
Wilkerson,Levi,levi.wilkerson@univ.edu,11
Williams,Kimberly,kimberly.williams@univ.edu,6
James,Margaret,margaret.james@univ.edu,8
Leon,Tammy,tammy.leon@univ.edu,4
Baldwin,Lucas,lucas.baldwin@univ.edu,7
Holt,Crystal,crystal.holt@univ.edu,9
Scott,Michelle,michelle.scott@univ.edu,7
Myers,Brian,brian.myers@univ.edu,9
Price,Ricardo,ricardo.price@univ.edu,10
Smith,Crystal,crystal.smith@univ.edu,6
Miller,Jorge,jorge.miller@univ.edu,10
Bryan,Bradley,bradley.bryan@univ.edu,10
Smith,Andrea,andrea.smith@univ.edu,5
